-1.4418,0.22,0.0409,1.442379995,1.4827,145
-1.4855,0.4576,0.1212,1.490436074,1.6067,215
-1.3189,0.1745,-0.1078,1.323298171,1.4267,190
-1.5533,0.2614,-0.3759,1.598136947,1.9292,180
-2.1136,0.1671,-0.6148,2.201200582,2.7284,240
-1.8783,0.3141,-0.4965,1.942813203,2.3748,210
-1.8053,0.1826,-0.5537,1.888303943,2.359,165
-1.7256,0.2419,-0.7038,1.863606665,2.4294,200
-1.6025,0.3301,-0.5075,1.680940957,2.11,190
-1.5095,-0.0261,-0.8538,1.734233171,2.3633,200
-1.6748,0.3002,-0.9085,1.905341778,2.5833,245
